ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;price_H;pseudoprice_H;baseprice_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;variantId_2;articleId_2;name_2;keywords_2;metaTitle_2;description_2;descriptionLong_2;additionalText_2;packUnit_2;attr1_2;attr2_2;attr3_2;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle
AD00073;AD00073;"Architekten für Industriebaute";;"MaxxDiscount GmbH & Co. KG";19.00;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00074;AD00074;"Architekten für Versammlungsba";;"MaxxDiscount GmbH & Co. KG";19.00;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00075;AD00075;"Architekten für Verwaltungsbau";;"MaxxDiscount GmbH & Co. KG";19.00;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00076;AD00076;"Architekten und Architekturbür";;"MaxxDiscount GmbH & Co. KG";19.00;24407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00077;AD00077;"Architekten, freie";;"MaxxDiscount GmbH & Co. KG";19.00;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00078;AD00078;Architekturbüros;;"MaxxDiscount GmbH & Co. KG";19.00;24407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00079;AD00079;"Arzneimittel Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00080;AD00080;Asbestsanierungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;7392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00081;AD00081;"Asphalt Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00082;AD00082;Asphaltierunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;1208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
